0,1,2,3,4,5,6,7,8,9,10,11,12,label
-428.1776,123.73212,67.92211,32.135468,27.163883,34.010307,36.550617,31.455725,22.53692,14.233158,8.023038,3.9166393,2.1714556,la
-312.1249,171.93253,-8.204118,48.584442,34.057228,3.406882,5.1655216,0.7463112,2.5814898,1.2792541,-4.281816,-3.3855057,-3.7113163,la
-298.11835,120.553604,-26.332909,85.99401,26.073454,-26.923157,-18.315262,-37.079777,-15.290106,2.9362419,-15.54898,-24.636805,-28.977377,la
-427.4156,173.05386,84.92945,26.029177,11.07512,11.91079,9.847616,7.1080337,7.3868527,9.111929,9.660615,8.909132,7.980783,la
-469.63583,103.936844,72.58767,45.907654,33.093998,28.621868,25.32138,21.46155,17.827362,14.744671,12.1516695,9.559161,6.1533027,la
-234.41638,157.2867,-19.983025,30.751783,-1.5167601,6.4627075,-3.5073092,-12.7003975,-3.1245787,-7.085573,-11.198524,-19.89343,-18.01691,la
-289.1365,106.744255,-18.426865,18.552427,-22.558636,-22.575148,-38.150387,-18.551962,-40.980206,-41.170506,-35.96234,-34.337307,-36.062035,la
-303.89053,120.70928,-14.015231,66.4169,45.457882,5.393053,-2.3492994,-2.791843,-1.9491099,-7.399986,-15.711478,-11.469225,-9.790797,la
-191.98491,158.20616,-13.398114,46.487217,-3.6117642,-0.88716316,3.3808005,-4.520137,-5.9173627,-13.3079605,-8.616949,-14.009217,-21.599098,la
-399.05203,192.36555,65.93054,15.635842,7.520406,-3.1787968,-11.935407,-14.436532,-10.337717,-6.0725017,-7.5733104,-11.218397,-12.813935,la
-241.80627,172.03891,-59.851326,57.960644,5.8134985,-1.6651176,1.72145,0.6060221,-0.62724304,-10.758843,-10.056412,-12.522062,-2.5580947,la
-340.85977,175.10934,19.011469,28.293726,25.722898,-2.4547424,-23.505922,-24.157461,-2.5660465,6.3623805,-8.146067,-18.917562,-18.74106,la
-360.26062,144.07687,67.38293,58.37619,38.647816,30.106382,22.584738,5.3981047,4.1341324,1.3681457,-2.4943295,1.027509,4.5816646,la
-430.4012,191.89862,31.945322,-2.9831493,3.158967,-9.166087,-15.752098,-14.84454,-16.711542,-21.294088,-21.334862,-15.723225,-10.810923,la
-505.2484,187.40993,51.619064,-11.175221,-17.603882,-23.148214,-26.104494,-17.391598,-11.113259,-11.99511,-12.517556,-8.959063,-4.782126,la
-340.4345,164.43164,9.55198,16.766888,-12.670645,-5.2813616,-14.091899,-21.152216,-19.470146,-16.73948,-3.5000687,0.6937656,4.8519616,la
-455.47678,144.59499,41.1509,2.9860415,14.4794035,16.362747,0.6032344,-11.498131,-12.174055,-9.399083,-10.6971445,-15.181948,-14.469985,la
-457.40515,157.73602,-21.94492,-48.21165,-7.3886504,-9.119559,-32.511818,-36.782524,-28.867453,-23.397102,-18.923883,-13.666891,-4.9494114,la
-260.55054,150.35048,-68.44898,24.197569,-13.743246,-19.92486,-21.76597,-17.427505,-28.63102,-20.013681,-5.4343333,-9.063873,-16.296766,la
-246.26218,150.29787,-88.84874,27.728119,-8.937615,-21.576927,-13.856494,-17.233719,-23.121763,-14.912031,-6.9837728,-0.9412124,-9.797006,la
-461.89685,215.58598,58.43936,20.699394,27.034657,6.8189163,0.7086832,0.17637567,-6.351745,-6.314663,0.79807687,1.2250352,2.9814003,la
-514.2393,78.23299,53.470768,37.94059,26.416008,15.23531,6.654689,-0.47542474,-7.416828,-14.376198,-21.538458,-28.169569,-33.231808,la
-233.71024,96.12301,-74.24403,30.8901,-25.12637,-22.119284,-32.38757,-20.06873,-33.407494,-19.191496,-8.7171335,-13.277368,-16.655758,la
-302.72183,87.32356,-84.2195,27.708742,-27.18651,-17.593975,-23.794292,-11.864432,-27.893053,-12.567206,2.7264051,0.09320504,-7.6624103,la
-350.78412,222.03827,63.114117,-10.442961,2.2323883,11.898316,-4.6750937,-16.592476,-19.044943,-23.789173,-25.05559,-16.364151,-6.3779345,la
-313.9273,72.75284,-75.07015,26.929756,-7.7813582,-6.897636,-11.78634,-2.8055196,-21.096972,-5.846211,-0.83741975,7.247446,-8.67855,la
-441.81055,172.47906,54.470257,4.126031,3.216629,-7.4411697,-25.35637,-31.54695,-31.441631,-31.665657,-30.326162,-26.304876,-20.945438,la
-423.48743,218.25345,45.74533,-56.413563,-56.857296,-30.571253,-25.800753,-29.005598,-24.852032,-20.958796,-22.28948,-21.969702,-16.833687,la
-372.78662,228.67886,56.008297,-15.772159,3.358972,12.488643,-4.802038,-14.112695,-16.75055,-23.842896,-24.874395,-15.197724,-6.031983,la
-433.9412,133.32385,36.559944,4.364588,-0.9392571,-4.042985,-8.6298065,-10.853103,-13.35184,-14.375782,-14.136626,-12.844694,-11.470391,la
-327.792,175.09547,-6.9497595,10.154635,-4.743426,-5.3040876,-3.5796986,-6.283336,-17.61291,-14.536976,-18.252172,-15.075842,-18.939266,la
-370.32178,169.39722,-10.630591,-4.0242686,-31.97796,-22.367521,-12.743494,-21.889978,-27.257343,-21.564926,-14.412029,-9.096287,-3.1466954,la
-277.1071,181.19528,-34.43871,0.12962383,-25.877216,-21.376825,-10.530571,-22.24642,-16.168976,-7.2928033,-16.179647,-9.874818,-9.26349,la
-339.64194,184.33438,-100.68255,1.8215628,10.353216,-11.253909,-6.051205,-20.008738,-12.8048315,-7.5393357,-5.055376,-8.436784,-11.475888,la
-265.2302,116.62835,-69.75973,-3.419737,19.978931,-27.16571,0.88615423,-25.971773,-14.874407,-8.574157,-17.96315,2.7008657,-20.886396,la
-335.4724,-6.203533,-94.99828,-36.911064,8.554782,-15.0108,-32.22847,0.3060984,-28.814259,7.350455,44.638813,44.3235,26.479473,la
-203.14261,75.75295,83.56089,62.825943,37.444294,27.048798,12.271374,16.55844,-4.9055576,9.819377,0.81624013,5.157064,4.157851,la
-130.99728,129.6207,-20.992886,8.833333,6.100742,0.67955106,-0.09626794,10.50892,15.423516,17.925545,11.584347,16.616323,14.915568,la
